matched_keyword,platform,data_type,pc_search_volume,mobile_search_volume,total_search_volume,competition,monthly_avg_pc_click,monthly_avg_mobile_click,term_id,keyword,term_type,english_name,term_code,keyword_rank
패딩,naver,monthly_absolute,4030,18500,22530,높음,10.1,72.0,159,패딩,ITEM,Puffer Jacket,ITEM_DOWN_JACKET,1
롱코트,naver,monthly_absolute,290,1390,1680,높음,0.5,6.8,157,코트,ITEM,Coat,ITEM_COAT,3
여성코트,naver,monthly_absolute,400,1670,2070,중간,1.0,14.5,157,코트,ITEM,Coat,ITEM_COAT,2
파카,naver,monthly_absolute,1240,3110,4350,높음,2.5,28.0,158,파카,ITEM,Parka,ITEM_PARKA,1
코트,naver,monthly_absolute,1440,8000,9440,높음,3.8,42.3,157,코트,ITEM,Coat,ITEM_COAT,1
트렌치코트,naver,monthly_absolute,2030,10900,12930,높음,11.7,94.0,172,트렌치코트,ITEM,Trench Coat,ITEM_TRENCH_COAT,1
가디건,naver,monthly_absolute,6620,22200,28820,높음,25.8,152.0,150,가디건,ITEM,Cardigan,ITEM_CARDIGAN,1
자켓,naver,monthly_absolute,4240,12400,16640,높음,1.9,22.0,156,재킷,ITEM,Jacket,ITEM_JACKET,1
블라우스,naver,monthly_absolute,5650,32900,38550,높음,58.7,362.0,139,블라우스,ITEM,Blouse,ITEM_BLOUSE,1
반바지,naver,monthly_absolute,2570,11000,13570,높음,10.0,76.4,176,쇼츠,ITEM,Shorts,ITEM_SHORTS,2
오피스룩,naver,monthly_absolute,2110,6000,8110,높음,80.1,174.8,532,오피스,TPO,Office,TPO_OFFICE,1
겨울옷,naver,monthly_absolute,260,1090,1350,높음,2.1,6.0,509,겨울,TPO,Winter,TPO_WINTER,2
겨울아우터,naver,monthly_absolute,90,400,490,높음,0.0,2.8,509,겨울,TPO,Winter,TPO_WINTER,4
더플코트,naver,monthly_absolute,230,1050,1280,높음,1.0,8.0,171,더플코트,ITEM,Duffle Coat,ITEM_DUFFLE_COAT,1
여성자켓,naver,monthly_absolute,1330,8190,9520,높음,11.2,104.2,156,재킷,ITEM,Jacket,ITEM_JACKET,3
고프코어,naver,monthly_absolute,890,3720,4610,높음,1.0,11.0,387,고프코어,STYLE,Gorpcore,STYLE_GORPCORE,1
하객룩,naver,monthly_absolute,9180,29500,38680,높음,352.3,1159.6,533,웨딩홀,TPO,Wedding Venue,TPO_WEDDING_VENUE,2
스커트,naver,monthly_absolute,1660,10000,11660,높음,4.5,44.4,188,스커트,ITEM,Skirt,ITEM_SKIRT,1
패딩베스트,naver,monthly_absolute,160,650,810,높음,0.5,2.8,153,베스트,ITEM,Vest,ITEM_VEST,2
로퍼,naver,monthly_absolute,4530,23600,28130,높음,40.1,326.2,205,로퍼,ITEM,Loafers,ITEM_LOAFERS,1
후드집업,naver,monthly_absolute,5490,41400,46890,중간,16.5,362.4,160,후드집업,ITEM,Zip-up Hoodie,ITEM_HOODED_ZIP_UP,1
블루종,naver,monthly_absolute,1380,5550,6930,높음,2.3,26.0,164,블루종,ITEM,Blouson,ITEM_BLOUSON,1
봄버재킷,naver,monthly_absolute,50,200,250,높음,0.0,0.3,162,봄버재킷,ITEM,Bomber Jacket,ITEM_BOMBER_JACKET,1
블레이저,naver,monthly_absolute,1330,7600,8930,중간,0.7,6.3,163,블레이저,ITEM,Blazer,ITEM_BLAZER,1
라이더재킷,naver,monthly_absolute,20,40,60,높음,0.0,0.0,161,라이더재킷,ITEM,Biker Jacket,ITEM_BIKER_JACKET,1
후드티,naver,monthly_absolute,4590,17700,22290,높음,10.6,105.6,147,후드,ITEM,Hoodie,ITEM_HOODIE,1
봄아우터,naver,monthly_absolute,5,30,35,높음,0.0,0.0,507,봄,TPO,Spring,TPO_SPRING,4
가을아우터,naver,monthly_absolute,490,1700,2190,높음,3.1,21.5,508,가을,TPO,Autumn,TPO_AUTUMN,4
레깅스,naver,monthly_absolute,2220,10400,12620,높음,61.7,360.8,173,레깅스,ITEM,Leggings,ITEM_LEGGINGS,1
치노팬츠,naver,monthly_absolute,1290,6310,7600,높음,3.9,28.5,182,치노팬츠,ITEM,Chino Pants,ITEM_CHINO_PANTS,1
티셔츠,naver,monthly_absolute,3410,13300,16710,높음,8.6,59.8,146,티셔츠,ITEM,T-shirt,ITEM_T_SHIRT,1
가을옷,naver,monthly_absolute,2070,7550,9620,높음,32.9,159.5,508,가을,TPO,Autumn,TPO_AUTUMN,2
버뮤다팬츠,naver,monthly_absolute,3350,26500,29850,높음,13.9,176.5,175,버뮤다팬츠,ITEM,Bermuda Shorts,ITEM_BERMUDA_SHORTS,1
재킷,naver,monthly_absolute,330,1400,1730,높음,0.6,3.3,156,재킷,ITEM,Jacket,ITEM_JACKET,2
슬랙스,naver,monthly_absolute,3700,10000,13700,중간,8.5,48.1,179,슬랙스,ITEM,Slacks,ITEM_SLACKS,1
숄더백,naver,monthly_absolute,4030,23600,27630,높음,22.5,241.0,227,숄더백,ITEM,Shoulder Bag,ITEM_SHOULDER_BAG,1
니트베스트,naver,monthly_absolute,460,2180,2640,높음,1.2,11.0,153,베스트,ITEM,Vest,ITEM_VEST,3
후드티셔츠,naver,monthly_absolute,140,530,670,높음,0.4,2.8,147,후드,ITEM,Hoodie,ITEM_HOODIE,2
야상,naver,monthly_absolute,1190,7730,8920,높음,2.3,24.0,166,야상,ITEM,Field Jacket,ITEM_FIELD_JACKET,1
루즈핏,naver,monthly_absolute,370,1820,2190,중간,0.2,3.8,609,루즈핏,DETAIL,Loose Fit,DETAIL_LOOSE_FIT,1
캐주얼룩,naver,monthly_absolute,150,1190,1340,높음,1.4,3.3,382,캐주얼,STYLE,Casual,STYLE_CASUAL,1
트레이닝재킷,naver,monthly_absolute,5,10,15,높음,0.0,0.0,169,트레이닝재킷,ITEM,Track Jacket,ITEM_TRACK_JACKET,1
세미와이드팬츠,naver,monthly_absolute,280,2170,2450,높음,2.6,20.2,621,세미와이드,DETAIL,Semi-wide,DETAIL_SEMI_WIDE,1
와이드팬츠,naver,monthly_absolute,1350,10600,11950,높음,8.4,83.6,615,와이드,DETAIL,Wide,DETAIL_WIDE,1
스타디움재킷,naver,monthly_absolute,10,10,20,높음,0.0,0.0,165,스타디움재킷,ITEM,Stadium Jacket,ITEM_STADIUM_JACKET,1
코치재킷,naver,monthly_absolute,20,50,70,높음,0.0,0.0,167,코치재킷,ITEM,Coach Jacket,ITEM_COACH_JACKET,1
트러커재킷,naver,monthly_absolute,40,60,100,높음,0.0,0.0,168,트러커재킷,ITEM,Trucker Jacket,ITEM_TRUCKER_JACKET,1
베스트조끼,naver,monthly_absolute,70,400,470,중간,0.2,1.5,153,베스트,ITEM,Vest,ITEM_VEST,1
봄코디,naver,monthly_absolute,60,70,130,높음,0.0,0.3,507,봄,TPO,Spring,TPO_SPRING,1
요가레깅스,naver,monthly_absolute,90,710,800,높음,5.1,30.8,173,레깅스,ITEM,Leggings,ITEM_LEGGINGS,2
플리스재킷,naver,monthly_absolute,10,40,50,높음,0.0,0.3,170,플리스재킷,ITEM,Fleece Jacket,ITEM_FLEECE_JACKET,1
운동복,naver,monthly_absolute,2980,12400,15380,높음,81.3,502.0,487,운동,TPO,Workout,TPO_WORKOUT,1
헬스복,naver,monthly_absolute,1190,5090,6280,높음,20.0,160.0,535,헬스장,TPO,Gym,TPO_GYM,2
애슬레저룩,naver,monthly_absolute,200,680,880,높음,2.8,13.6,400,애슬레저,STYLE,Athleisure,STYLE_ATHLEISURE,2
터틀넥,naver,monthly_absolute,520,2900,3420,중간,0.6,4.8,639,터틀넥,DETAIL,Turtleneck,DETAIL_TURTLENECK,1
무스탕,naver,monthly_absolute,1020,6260,7280,높음,4.5,42.8,151,무스탕,ITEM,Shearling Jacket,ITEM_MOUTON_JACKET,1
등산복,naver,monthly_absolute,4620,8340,12960,중간,28.6,200.2,526,등산로,TPO,Trail,TPO_MOUNTAIN,1
짐웨어,naver,monthly_absolute,1890,6390,8280,높음,123.1,393.8,487,운동,TPO,Workout,TPO_WORKOUT,3
탱크탑,naver,monthly_absolute,650,4050,4700,높음,2.0,26.8,148,탱크탑,ITEM,Tank Top,ITEM_TANK_TOP,1
골프웨어,naver,monthly_absolute,7820,42200,50020,중간,281.7,1673.7,484,골프,TPO,Golf,TPO_GOLF,1
볼캡,naver,monthly_absolute,2170,8990,11160,높음,4.7,67.0,246,볼캡,ITEM,Baseball Cap,ITEM_BALL_CAP,1
시스루,naver,monthly_absolute,590,4370,4960,중간,0.9,45.0,791,시스루,DETAIL,,,1
