term_id,keyword,english_name,term_type,term_code,google_volume,naver_volume,total_volume,naver_share,keywords_requested,rank_overall,rank_in_type
190,원피스,Dress,ITEM,ITEM_DRESS,91380,125490,216870,0.579,2,1,1
254,수영복,Swimwear,ITEM,ITEM_SWIMWEAR,82700,118090,200790,0.588,2,2,2
204,러닝화,Running Shoes,ITEM,ITEM_RUNNING_SHOES,14700,107400,122100,0.88,2,3,3
181,청바지,Jeans,ITEM,ITEM_JEANS,90500,26410,116910,0.226,1,4,4
213,슬리퍼,Slippers,ITEM,ITEM_SLIPPERS,12130,87360,99490,0.878,2,5,5
533,웨딩홀,Wedding Venue,TPO,TPO_WEDDING_VENUE,7300,89230,96530,0.924,3,6,1
225,백팩,Backpack,ITEM,ITEM_BACKPACK,8100,80200,88300,0.908,1,7,6
174,팬츠,Pants,ITEM,ITEM_PANTS,62990,22550,85540,0.264,3,8,7
152,바람막이,Windbreaker,ITEM,ITEM_WINDBREAKER,14800,67200,82000,0.82,1,9,8
251,잠옷,Pajamas,ITEM,ITEM_PAJAMAS,15440,61620,77060,0.8,3,10,9
229,크로스백,Crossbody Bag,ITEM,ITEM_CROSSBODY_BAG,9900,60600,70500,0.86,1,11,10
252,팬티,Briefs,ITEM,ITEM_UNDERWEAR_BOTTOM,17400,50830,68230,0.745,3,12,11
139,블라우스,Blouse,ITEM,ITEM_BLOUSE,27100,38550,65650,0.587,1,13,12
516,데일리,Daily,TPO,TPO_DAILY,3640,61360,65000,0.944,2,14,2
137,래시가드,Rash Guard,ITEM,ITEM_RASH_GUARD,18100,45850,63950,0.717,2,15,13
156,재킷,Jacket,ITEM,ITEM_JACKET,35920,27890,63810,0.437,3,16,14
249,선글라스,Sunglasses,ITEM,ITEM_SUNGLASSES,14800,47590,62390,0.763,1,17,15
203,등산화,Hiking Shoes,ITEM,ITEM_HIKING_BOOTS,3600,56200,59800,0.94,1,18,16
160,후드집업,Zip-up Hoodie,ITEM,ITEM_HOODED_ZIP_UP,12100,46890,58990,0.795,1,19,17
188,스커트,Skirt,ITEM,ITEM_SKIRT,32500,25850,58350,0.443,2,20,18
140,셔츠,Shirt,ITEM,ITEM_SHIRT,23000,34860,57860,0.602,3,21,19
484,골프,Golf,TPO,TPO_GOLF,2540,54000,56540,0.955,4,22,3
159,패딩,Puffer Jacket,ITEM,ITEM_DOWN_JACKET,33100,22530,55630,0.405,1,23,20
758,플리츠,Pleats,DETAIL,DETAIL_PLEATS,7300,44120,51420,0.858,2,24,1
176,쇼츠,Shorts,ITEM,ITEM_SHORTS,28000,22290,50290,0.443,2,25,21
250,브라,Bra,ITEM,ITEM_BRA,15330,33725,49055,0.687,3,26,22
212,스니커즈,Sneakers,ITEM,ITEM_SNEAKERS,14800,32310,47110,0.686,1,27,23
173,레깅스,Leggings,ITEM,ITEM_LEGGINGS,33210,13420,46630,0.288,2,28,24
175,버뮤다팬츠,Bermuda Shorts,ITEM,ITEM_BERMUDA_SHORTS,14800,29850,44650,0.669,1,29,25
157,코트,Coat,ITEM,ITEM_COAT,29980,13190,43170,0.306,3,30,26
236,스카프,Scarf,ITEM,ITEM_SCARF,5810,35470,41280,0.859,3,31,27
150,가디건,Cardigan,ITEM,ITEM_CARDIGAN,12100,28820,40920,0.704,1,32,28
205,로퍼,Loafers,ITEM,ITEM_LOAFERS,12100,28130,40230,0.699,1,33,29
136,니트,Knitwear,ITEM,ITEM_KNIT,19110,19920,39030,0.51,6,34,30
147,후드,Hoodie,ITEM,ITEM_HOODIE,14870,22960,37830,0.607,2,35,31
230,토트백,Tote Bag,ITEM,ITEM_TOTE_BAG,12100,25240,37340,0.676,1,36,32
214,슬링백,Slingback Shoes,ITEM,ITEM_SLINGBACK,6810,30420,37230,0.817,2,37,33
184,카프리팬츠,Capri Pants,ITEM,ITEM_CAPRI_PANTS,5400,31670,37070,0.854,1,38,34
149,폴로셔츠,Polo Shirt,ITEM,ITEM_POLO_SHIRT,4400,32170,36570,0.88,1,39,35
