id,brand_code,canonical_name,normalized_name,english_name,country_code,category,description,status,created_at,updated_at
,BRAND_GAKKAI_UNIONS,가까이 유니언즈,가까이 유니언즈,GAKKAI UNIONS,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_GAP,갭,갭,GAP,,글로벌 스포츠·캐주얼,신발겸업,ACTIVE,,
,BRAND_GUESS,게스,게스,GUESS,,글로벌 스포츠·캐주얼,,ACTIVE,,
,BRAND_KENZO,겐조,겐조,KENZO,,해외 럭셔리·컨템포러리,,ACTIVE,,
,BRAND_GODASHIN,고다신,고다신,GODASHIN,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_KOMOK,고목,고목,KOMOK,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_GHOST_REPUBLIC,고스트리퍼블릭,고스트리퍼블릭,GHOST REPUBLIC,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_GOZER,고저,고저,GOZER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_GOCORI,고코리,고코리,GOCORI,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_GOHARDER,고하더,고하더,GOHARDER,,스포츠·액티브,,ACTIVE,,
,BRAND_GOLDPERCENT,골드퍼센트,골드퍼센트,GOLDPERCENT,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_GOLDEN_BEAR,골든베어,골든베어,GOLDEN BEAR,,골프·스포츠라이프,,ACTIVE,,
,BRAND_GOLDENAI,골든아이,골든아이,GOLDENAI,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_GOLA,골라,골라,GOLA,,글로벌 스포츠·캐주얼,,ACTIVE,,
,BRAND_GOLA_CLASSICS,골라 클래식,골라 클래식,GOLA CLASSICS,,신발·스니커즈,,ACTIVE,,
,BRAND_GOALSTUDIO,골스튜디오,골스튜디오,GOALSTUDIO,,스포츠·액티브,,ACTIVE,,
,BRAND_GONGGONGYUKYI,공공육이,공공육이,GONGGONGYUKYI,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_GONG_APRON,공에이프런,공에이프런,GONG APRON,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_GURUS_ROOME_SHOES,구루스 룸 슈즈,구루스 룸 슈즈,GURUS ROOME SHOES,,신발·스니커즈,,ACTIVE,,
,BRAND_GULEMKIM,구름킴,구름킴,GULEMKIM,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_9UMIKO,구미코,구미코,9UMIKO,,국내 캐주얼·스트릿,,ACTIVE,,
