term_id,term_code,term_type,canonical_name,style_group,is_core,created_at,updated_at
1,STYLE_BALLETCORE,STYLE,발레코어,코어(하위문화 믹스),TRUE,,
2,STYLE_GORPCORE,STYLE,고프코어,코어(하위문화 믹스),TRUE,,
3,STYLE_BLOKECORE,STYLE,블록코어,코어(하위문화 믹스),TRUE,,
4,STYLE_BIKERCORE,STYLE,바이크코어,코어(하위문화 믹스),TRUE,,
5,STYLE_GEEK_SHEEK,STYLE,긱시크,오피스/무드,TRUE,,
6,STYLE_NORMCORE,STYLE,놈코어,미니멀/무드,TRUE,,
7,STYLE_BUSINESSCORE,STYLE,비즈니스코어,오피스/무드,TRUE,,
8,STYLE_ATHLEISURE,STYLE,애슬레저,스포츠/액티브,TRUE,,
9,STYLE_CLASSIC,STYLE,클래식,무드/장르,TRUE,,
10,STYLE_STREETWEAR,STYLE,스트릿웨어,무드/장르,TRUE,,
11,STYLE_AMEKAJI,STYLE,아메카지,무드/장르,TRUE,,
12,STYLE_GRUNGE,STYLE,그런지,무드/장르,TRUE,,
13,STYLE_Y2K,STYLE,Y2K,레트로/무드,TRUE,,
14,STYLE_FEMININE,STYLE,페미닌,무드/장르,TRUE,,
